# Matter power spectrum P(k) at redshift z=0
# for k=1.04932e-05 to 1.02586 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.195253178859e-02       2.382806782266e+04 
       2.208554421991e-02       2.378025978587e+04 
       2.221864743200e-02       2.373003586019e+04 
       2.235184325024e-02       2.368157368093e+04 
       2.248513354402e-02       2.363142001728e+04 
       2.261852022790e-02       2.357848813587e+04 
       2.275200526254e-02       2.352640492975e+04 
       2.288559065593e-02       2.347368613385e+04 
       2.301927846444e-02       2.342138571584e+04 
       2.315307079405e-02       2.336737150829e+04 
       2.328696980149e-02       2.331261478719e+04 
       2.342097769559e-02       2.325840738404e+04 
       2.355509673848e-02       2.320113633102e+04 
       2.368932924694e-02       2.314426081911e+04 
       2.382367759381e-02       2.308519633460e+04 
       2.395814420935e-02       2.302788263714e+04 
       2.409273158273e-02       2.296933300485e+04 
       2.422744226354e-02       2.290880011970e+04 
       2.436227886330e-02       2.284999596142e+04 
       2.449724405713e-02       2.279070579704e+04 
       2.463234058536e-02       2.272926609063e+04 
       2.476757125525e-02       2.266821929263e+04 
       2.490293894274e-02       2.260450200774e+04 
       2.503844659433e-02       2.254063470457e+04 
       2.517409722888e-02       2.248091327616e+04 
       2.530989393963e-02       2.241460247066e+04 
       2.544583989616e-02       2.235293395977e+04 
       2.558193834649e-02       2.228736528241e+04 
       2.571819261924e-02       2.222232938149e+04 
       2.585460612581e-02       2.215709021435e+04 
       2.599118236272e-02       2.209085045558e+04 
       2.612792491394e-02       2.202578755903e+04 
       2.626483745339e-02       2.195904388284e+04 
       2.640192374746e-02       2.189223309858e+04 
       2.653918765763e-02       2.182294223129e+04 
       2.667663314319e-02       2.175644793932e+04 
       2.681426426410e-02       2.168792489331e+04 
       2.695208518383e-02       2.162050903369e+04 
       2.709010017247e-02       2.155051434942e+04 
       2.722831360979e-02       2.148009993630e+04 
       2.736672998852e-02       2.141350489651e+04 
       2.750535391768e-02       2.134380573116e+04 
       2.764419012613e-02       2.127363488786e+04 
       2.778324346609e-02       2.120032465048e+04 
       2.792251891698e-02       2.113104252000e+04 
       2.806202158923e-02       2.105969522197e+04 
       2.820175672839e-02       2.098895914144e+04 
       2.834172971926e-02       2.091859569514e+04 
       2.848194609026e-02       2.084760960645e+04 
       2.862241151796e-02       2.077575229461e+04 
       2.876313183178e-02       2.070179656361e+04 
       2.890411301881e-02       2.063151650011e+04 
       2.904536122895e-02       2.055631894717e+04 
       2.918688278017e-02       2.048556127917e+04 
       2.932868416395e-02       2.041247628068e+04 
       2.947077205102e-02       2.033854028216e+04 
       2.961315329732e-02       2.026738723683e+04 
       2.975583495013e-02       2.019443707057e+04 
       2.989882425455e-02       2.011985798113e+04 
       3.004212866019e-02       2.004521891222e+04 
       3.018575582818e-02       1.997248246447e+04 
       3.032971363845e-02       1.989907377364e+04 
       3.047401019731e-02       1.982504600256e+04 
       3.061865384541e-02       1.974929663081e+04 
       3.076365316603e-02       1.967573530558e+04 
       3.090901699365e-02       1.960144135057e+04 
       3.105475442307e-02       1.952713893094e+04 
       3.120087481877e-02       1.945238687468e+04 
       3.134738782479e-02       1.937773087955e+04 
       3.149430337504e-02       1.930315106485e+04 
       3.164163170407e-02       1.922825926530e+04 
       3.178938335834e-02       1.915285558205e+04 
       3.193756920806e-02       1.907985152584e+04 
       3.208620045955e-02       1.900463371709e+04 
       3.223528866816e-02       1.892944938562e+04 
       3.238484575192e-02       1.885493425736e+04 
       3.253488400575e-02       1.877984412567e+04 
       3.268541611640e-02       1.870431151880e+04 
       3.283645517816e-02       1.862948332867e+04 
       3.298801470935e-02       1.855262249499e+04 
       3.314010866960e-02       1.847737801802e+04 
       3.329275147807e-02       1.840397364870e+04 
