# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04741e-05 to 1.19979 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.049456060877e-02       1.433020240081e+04 
       2.062668235494e-02       1.430745150166e+04 
       2.075887744137e-02       1.428468481491e+04 
       2.089114726874e-02       1.426070753848e+04 
       2.102349327230e-02       1.423687384394e+04 
       2.115591692256e-02       1.421214835485e+04 
       2.128841972607e-02       1.418639905344e+04 
       2.142100322619e-02       1.416065858027e+04 
       2.155366900392e-02       1.413439297242e+04 
       2.168641867873e-02       1.410780408745e+04 
       2.181925390940e-02       1.407995726604e+04 
       2.195217639494e-02       1.405208549818e+04 
       2.208518787548e-02       1.402377783226e+04 
       2.221829013325e-02       1.399494160491e+04 
       2.235148499353e-02       1.396567602454e+04 
       2.248477432565e-02       1.393620868268e+04 
       2.261816004403e-02       1.390597979297e+04 
       2.275164410930e-02       1.387529860263e+04 
       2.288522852932e-02       1.384386657850e+04 
       2.301891536037e-02       1.381228858673e+04 
       2.315270670832e-02       1.378036264937e+04 
       2.328660472984e-02       1.374834331778e+04 
       2.342061163362e-02       1.371525018412e+04 
       2.355472968169e-02       1.368242101367e+04 
       2.368896119074e-02       1.364889786605e+04 
       2.382330853348e-02       1.361473688688e+04 
       2.395777414007e-02       1.358043865001e+04 
       2.409236049956e-02       1.354577333434e+04 
       2.422707016141e-02       1.351114243385e+04 
       2.436190573704e-02       1.347546313209e+04 
       2.449686990143e-02       1.344015043156e+04 
       2.463196539478e-02       1.340417738622e+04 
       2.476719502422e-02       1.336764561896e+04 
       2.490256166557e-02       1.333091672165e+04 
       2.503806826517e-02       1.329407536277e+04 
       2.517371784176e-02       1.325716484391e+04 
       2.530951348841e-02       1.321943428592e+04 
       2.544545837456e-02       1.318159094384e+04 
       2.558155574809e-02       1.314345780596e+04 
       2.571780893744e-02       1.310510473560e+04 
       2.585422135386e-02       1.306665388095e+04 
       2.599079649370e-02       1.302777234157e+04 
       2.612753794076e-02       1.298899286356e+04 
       2.626444936879e-02       1.294953893605e+04 
       2.640153454398e-02       1.291005668735e+04 
       2.653879732764e-02       1.287020254387e+04 
       2.667624167887e-02       1.283029581703e+04 
       2.681387165741e-02       1.279014392944e+04 
       2.695169142657e-02       1.274972565132e+04 
       2.708970525619e-02       1.270921620731e+04 
       2.722791752585e-02       1.266840241388e+04 
       2.736633272804e-02       1.262756744113e+04 
       2.750495547159e-02       1.258626253723e+04 
       2.764379048508e-02       1.254509555265e+04 
       2.778284262052e-02       1.250358392849e+04 
       2.792211685707e-02       1.246191664275e+04 
       2.806161830491e-02       1.242012727995e+04 
       2.820135220932e-02       1.237814242978e+04 
       2.834132395484e-02       1.233609193325e+04 
       2.848153906961e-02       1.229387017965e+04 
       2.862200322990e-02       1.225150097839e+04 
       2.876272226483e-02       1.220904277147e+04 
       2.890370216121e-02       1.216640885157e+04 
       2.904494906860e-02       1.212392535649e+04 
       2.918646930465e-02       1.208091347719e+04 
       2.932826936051e-02       1.203789240299e+04 
       2.947035590656e-02       1.199485274700e+04 
       2.961273579837e-02       1.195171861336e+04 
       2.975541608286e-02       1.190843232102e+04 
       2.989840400474e-02       1.186510421650e+04 
       3.004170701324e-02       1.182168119275e+04 
       3.018533276907e-02       1.177814286280e+04 
       3.032928915173e-02       1.173460697759e+04 
       3.047358426711e-02       1.169092176459e+04 
       3.061822645540e-02       1.164723455907e+04 
       3.076322429940e-02       1.160340039973e+04 
       3.090858663313e-02       1.155978914591e+04 
       3.105432255086e-02       1.151565336672e+04 
       3.120044141658e-02       1.147173859295e+04 
       3.134695287377e-02       1.142776334498e+04 
       3.149386685579e-02       1.138389130892e+04 
       3.164119359661e-02       1.133958671619e+04 
       3.178894364210e-02       1.129561881301e+04 
       3.193712786184e-02       1.125133084943e+04 
       3.208575746150e-02       1.120709266736e+04 
       3.223484399578e-02       1.116295907523e+04 
       3.238439938200e-02       1.111870103492e+04 
       3.253443591435e-02       1.107439638304e+04 
       3.268496627884e-02       1.103025108558e+04 
       3.283600356900e-02       1.098585453501e+04 
       3.298756130230e-02       1.094150630196e+04 
       3.313965343756e-02       1.089724389342e+04 
       3.329229439305e-02       1.085301600043e+04 
       3.344549906571e-02       1.080860113023e+04 
       3.359928285123e-02       1.076423021061e+04 
       3.375366166531e-02       1.071986570233e+04 
       3.390865196594e-02       1.067544374454e+04 
       3.406427077698e-02       1.063111093020e+04 
       3.422053571297e-02       1.058682356498e+04 
       3.437746500533e-02       1.054252891826e+04 
       3.453507752999e-02       1.049817795572e+04 
       3.469339283663e-02       1.045375553553e+04 
       3.485243117952e-02       1.040961564400e+04 
       3.501221355020e-02       1.036518933354e+04 
       3.517276171201e-02       1.032093216877e+04 
       3.533409823667e-02       1.027672107926e+04 
       3.549624654310e-02       1.023244167450e+04 
       3.565923093846e-02       1.018822048763e+04 
       3.582307666181e-02       1.014402542741e+04 
       3.598780993042e-02       1.009985371311e+04 
       3.615345798896e-02       1.005577261666e+04 
       3.632004916182e-02       1.001152234580e+04 
       3.648761290880e-02       9.967422560380e+03 
       3.665617988439e-02       9.923336447281e+03 
       3.682578200093e-02       9.879224345902e+03 
       3.699645249602e-02       9.835172914360e+03 
       3.716822600445e-02       9.791211801859e+03 
       3.734113863504e-02       9.747164792005e+03 
       3.751522805277e-02       9.703247346431e+03 
       3.769053356676e-02       9.659281454275e+03 
       3.786709622443e-02       9.615198460357e+03 
       3.804495891244e-02       9.571277192517e+03 
       3.822416646510e-02       9.527537978588e+03 
       3.840476578071e-02       9.483498795254e+03 
       3.858680594674e-02       9.439776800701e+03 
       3.877033837451e-02       9.395809918422e+03 
       3.895541694433e-02       9.351959691550e+03 
       3.914209816201e-02       9.308125566525e+03 
       3.933044132792e-02       9.264260277078e+03 
       3.952050871973e-02       9.220508121805e+03 
       3.971236579013e-02       9.176703185105e+03 
       3.990608138120e-02       9.132878683601e+03 
       4.010172795686e-02       9.089213355613e+03 
       4.029938185549e-02       9.045324311540e+03 
       4.049912356470e-02       9.001530451718e+03 
       4.070103802057e-02       8.957680758304e+03 
       4.090521493416e-02       8.913869902909e+03 
       4.111174914802e-02       8.870144319041e+03 
       4.132074102640e-02       8.826148758679e+03 
       4.153229688260e-02       8.782332791364e+03 
       4.174652944807e-02       8.738420839739e+03 
       4.196355838798e-02       8.694509639349e+03 
       4.218351086895e-02       8.650542865957e+03 
       4.240652218522e-02       8.606501842060e+03 
       4.263273645058e-02       8.562617603567e+03 
       4.286230736438e-02       8.518379703102e+03 
       4.309539906128e-02       8.474185069842e+03 
       4.333218705561e-02       8.430083669044e+03 
       4.357285929333e-02       8.385742832882e+03 
       4.381761732616e-02       8.341205329025e+03 
       4.406667762511e-02       8.296761056728e+03 
       4.432027305342e-02       8.252181433941e+03 
       4.457865452223e-02       8.207443419201e+03 
       4.484209285634e-02       8.162593428941e+03 
       4.511088090217e-02       8.117581861701e+03 
       4.538533591599e-02       8.072494048639e+03 
       4.566580227721e-02       8.027148220937e+03 
       4.595265458006e-02       7.981912219056e+03 
       4.624630116739e-02       7.936052078074e+03 
       4.654718818246e-02       7.890219660095e+03 
       4.685580423033e-02       7.844185514735e+03 
       4.717268575886e-02       7.797875036259e+03 
       4.749842329305e-02       7.751170225480e+03 
       4.783366868471e-02       7.704200284700e+03 
