# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.834769827184e+13       2.245592616193e-24       2.526394382585e-08       7.262145127127e+20       1.417361092952e+04       7.725007638303e-10       2.600531367574e+17       1.458666601036e-08       3.118210503258e+41       1.538231347178e+31       8.247539749194e+31       3.463692243488e-08       2.155664680510e+41       5.273875184746e+41       5.273875184746e+41       1.757958394589e+41      -2.783248078273e+49       2.375107363048e-05       4.554426660639e-01 
       1.833291736133e+13       2.249215093041e-24       2.528577169869e-08       7.250449068189e+20       1.417361092952e+04       7.731235923976e-10       2.598436378827e+17       1.459842650656e-08       3.108174514122e+41       1.534516742551e+31       8.227623142130e+31       3.463692243488e-08       2.148726653943e+41       5.256901169041e+41       5.256901169041e+41       1.752300389355e+41      -2.772055199896e+49       2.375979152378e-05       4.552755559887e-01 
       1.831814835833e+13       2.252843413487e-24       2.530578058213e-08       7.238771846357e+20       1.417361092952e+04       7.737469231204e-10       2.596343077803e+17       1.461019648466e-08       3.098170825910e+41       1.530811108153e+31       8.207754630770e+31       3.463692243488e-08       2.141810957478e+41       5.239981784361e+41       5.239981784361e+41       1.746660594463e+41      -2.760907333865e+49       2.376850941709e-05       4.551085684998e-01 
       1.830339125325e+13       2.256477586958e-24       2.532578946557e-08       7.227113431292e+20       1.417361092952e+04       7.743707564034e-10       2.594251463144e+17       1.462197595230e-08       3.088199334660e+41       1.527114422322e+31       8.187934098971e+31       3.463692243488e-08       2.134917519245e+41       5.223116854877e+41       5.223116854877e+41       1.741038951302e+41      -2.749804299162e+49       2.377722731039e-05       4.549417034625e-01 
       1.828864603649e+13       2.260117622895e-24       2.534579834901e-08       7.215473792706e+20       1.417361092952e+04       7.749950926518e-10       2.592161533490e+17       1.463376491713e-08       3.078259936746e+41       1.523426663449e+31       8.168161430869e+31       3.463692243488e-08       2.128046267607e+41       5.206306205322e+41       5.206306205322e+41       1.735435401451e+41      -2.738745915498e+49       2.378594520370e-05       4.547749607420e-01 
       1.827391269848e+13       2.263763530756e-24       2.536762622185e-08       7.203852900357e+20       1.417361092952e+04       7.756199322712e-10       2.590073287483e+17       1.464556338681e-08       3.068352528876e+41       1.519747809976e+31       8.148436510881e+31       3.463692243488e-08       2.121197131156e+41       5.189549660998e+41       5.189549660998e+41       1.729849886677e+41      -2.727732003307e+49       2.379466309700e-05       4.546083402041e-01 
       1.825919122965e+13       2.267415320011e-24       2.538763510529e-08       7.192250724054e+20       1.417361092952e+04       7.762452756674e-10       2.587986723768e+17       1.465737136901e-08       3.058477008088e+41       1.516077840399e+31       8.128759223700e+31       3.463692243488e-08       2.114370038712e+41       5.172847047765e+41       5.172847047765e+41       1.724282348934e+41      -2.716762383747e+49       2.380338099031e-05       4.544418417144e-01 
       1.824448162044e+13       2.271073000148e-24       2.540764398873e-08       7.180667233654e+20       1.417361092952e+04       7.768711232466e-10       2.585901840990e+17       1.466918887139e-08       3.048633271756e+41       1.512416733263e+31       8.109129454302e+31       3.463692243488e-08       2.107564919329e+41       5.156198192047e+41       5.156198192047e+41       1.718732730362e+41      -2.705836878695e+49       2.381209888362e-05       4.542754651388e-01 
       1.822978386130e+13       2.274736580670e-24       2.542765287217e-08       7.169102399062e+20       1.417361092952e+04       7.774974754153e-10       2.583818637793e+17       1.468101590163e-08       3.038821217578e+41       1.508764467168e+31       8.089547087937e+31       3.463692243488e-08       2.100781702285e+41       5.139602920823e+41       5.139602920823e+41       1.713200973288e+41      -2.694955310742e+49       2.382081677692e-05       4.541092103435e-01 
       1.821509794267e+13       2.278406071094e-24       2.544948074501e-08       7.157556190232e+20       1.417361092952e+04       7.781243325802e-10       2.581737112826e+17       1.469285246740e-08       3.029040743588e+41       1.505121020764e+31       8.070012010135e+31       3.463692243488e-08       2.094020317087e+41       5.123061061632e+41       5.123061061632e+41       1.707687020225e+41      -2.684117503196e+49       2.382953467023e-05       4.539430771949e-01 
