# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       3.836538832466e+09       5.135789099677e-17       1.208233170473e-04       3.175327953218e+13       1.414785830004e+04       3.687661956299e-06       5.427880777845e+13       6.975737154125e-05       5.961251790298e+26       1.406357340472e+20       7.540470481497e+20       3.463692243488e-08       4.121100843751e+26       1.008236158088e+27       1.008236158088e+27       3.360784211350e+26      -1.112627033298e+31       1.167931562978e-04       9.373663876704e-02 
       3.833448115782e+09       5.144073897897e-17       1.209207312058e-04       3.170213922981e+13       1.414785829994e+04       3.690635132898e-06       5.423508075640e+13       6.981361343724e-05       5.942065446676e+26       1.402961192360e+20       7.522261343714e+20       3.463692243488e-08       4.107837042847e+26       1.004991141475e+27       1.004991141475e+27       3.349967496508e+26      -1.108152584872e+31       1.168019794011e-04       9.372955909730e-02 
       3.830359888981e+09       5.152372060735e-17       1.210182235809e-04       3.165108129155e+13       1.414785829984e+04       3.693610706619e-06       5.419138896085e+13       6.986990067825e-05       5.922940854477e+26       1.399573245452e+20       7.504096178347e+20       3.463692243488e-08       4.094615931607e+26       1.001756568975e+27       1.001756568975e+27       3.339185595361e+26      -1.103696130516e+31       1.168108025045e-04       9.372248049791e-02 
       3.827274150056e+09       5.160683609750e-17       1.211157941725e-04       3.160010558476e+13       1.414785829974e+04       3.696588679397e-06       5.414773236341e+13       6.992623330084e-05       5.903877814953e+26       1.396193479942e+20       7.485974879207e+20       3.463692243488e-08       4.081437372635e+26       9.985324069757e+26       9.985324069757e+26       3.328438395863e+26      -1.099257597866e+31       1.168196256080e-04       9.371540296860e-02 
       3.824190897004e+09       5.169008566535e-17       1.212134429807e-04       3.154921197700e+13       1.414785829964e+04       3.699569053164e-06       5.410411093575e+13       6.998261134162e-05       5.884876129998e+26       1.392821876073e+20       7.467897340366e+20       3.463692243488e-08       4.068301228976e+26       9.953186219693e+26       9.953186219693e+26       3.317725786325e+26      -1.094836914851e+31       1.168284487116e-04       9.370832650915e-02 
       3.821110127821e+09       5.177346952741e-17       1.213111718243e-04       3.149840033604e+13       1.414785829955e+04       3.702551829856e-06       5.406052464952e+13       7.003903483719e-05       5.865935602140e+26       1.389458414137e+20       7.449863456147e+20       3.463692243488e-08       4.055207364116e+26       9.921151805578e+26       9.921151805578e+26       3.307047655419e+26      -1.090434009688e+31       1.168372718154e-04       9.370125111931e-02 
       3.818031840506e+09       5.185698790018e-17       1.214089788846e-04       3.144767052986e+13       1.414785829945e+04       3.705537011412e-06       5.401697347641e+13       7.009550382421e-05       5.847056034544e+26       1.386103074471e+20       7.431873121132e+20       3.463692243488e-08       4.042155641981e+26       9.889220494501e+26       9.889220494501e+26       3.296403892175e+26      -1.086048810883e+31       1.168460949192e-04       9.369417679885e-02 
       3.814956033060e+09       5.194064100060e-17       1.215068659803e-04       3.139702242668e+13       1.414785829935e+04       3.708524599770e-06       5.397345738814e+13       7.015201833935e-05       5.828237231010e+26       1.382755837461e+20       7.413926230155e+20       3.463692243488e-08       4.029145926933e+26       9.857391954625e+26       9.857391954625e+26       3.285794385981e+26      -1.081681247229e+31       1.168549180232e-04       9.368710354752e-02 
       3.811882703486e+09       5.202442904602e-17       1.216048294737e-04       3.134645589491e+13       1.414785829925e+04       3.711514596870e-06       5.392997635644e+13       7.020857841931e-05       5.809478995969e+26       1.379416683542e+20       7.396022678306e+20       3.463692243488e-08       4.016178083772e+26       9.825665855180e+26       9.825665855180e+26       3.275219026580e+26      -1.077331247806e+31       1.168637411272e-04       9.368003136507e-02 
       3.808811849786e+09       5.210835225411e-17       1.217028748215e-04       3.129597080316e+13       1.414785829916e+04       3.714507004654e-06       5.388653035307e+13       7.026518410084e-05       5.790781134478e+26       1.376085593192e+20       7.378162360926e+20       3.463692243488e-08       4.003251977734e+26       9.794041866460e+26       9.794041866460e+26       3.264677704071e+26      -1.072998741980e+31       1.168725642313e-04       9.367296025128e-02 
       3.805743469967e+09       5.219241084292e-17       1.218009965669e-04       3.124556702028e+13       1.414785829906e+04       3.717501825067e-06       5.384311934981e+13       7.032183542070e-05       5.772143452227e+26       1.372762546941e+20       7.360345173611e+20       3.463692243488e-08       3.990367474486e+26       9.762519659821e+26       9.762519659821e+26       3.254170308904e+26      -1.068683659400e+31       1.168813873356e-04       9.366589020588e-02 
       3.802677562036e+09       5.227660503082e-17       1.218992001668e-04       3.119524441531e+13       1.414785829896e+04       3.720499060053e-06       5.379974331847e+13       7.037853241569e-05       5.753565755527e+26       1.369447525362e+20       7.342571012208e+20       3.463692243488e-08       3.977524440131e+26       9.731098907677e+26       9.731098907677e+26       3.243696731886e+26      -1.064385929998e+31       1.168902104400e-04       9.365882122865e-02 
       3.799614124001e+09       5.236093503657e-17       1.219974801643e-04       3.114500285752e+13       1.414785829886e+04       3.723498711558e-06       5.375640223087e+13       7.043527512263e-05       5.735047851315e+26       1.366140509078e+20       7.324839772815e+20       3.463692243488e-08       3.964722741199e+26       9.699779283495e+26       9.699779283495e+26       3.233256864171e+26      -1.060105483987e+31       1.168990335444e-04       9.365175331935e-02 
       3.796553153873e+09       5.244540107925e-17       1.220958401973e-04       3.109484221636e+13       1.414785829876e+04       3.726500781533e-06       5.371309605886e+13       7.049206357838e-05       5.716589547148e+26       1.362841478756e+20       7.307151351783e+20       3.463692243488e-08       3.951962244653e+26       9.668560461794e+26       9.668560461794e+26       3.222850597267e+26      -1.055842251863e+31       1.169078566490e-04       9.364468647772e-02 
       3.793494649662e+09       5.253000337830e-17       1.221942802658e-04       3.104476236153e+13       1.414785829866e+04       3.729505271925e-06       5.366982477431e+13       7.054889781982e-05       5.698190651201e+26       1.359550415111e+20       7.289505645711e+20       3.463692243488e-08       3.939242817883e+26       9.637442118140e+26       9.637442118140e+26       3.212477823028e+26      -1.051596164399e+31       1.169166797537e-04       9.363762070354e-02 
       3.790438609384e+09       5.261474215353e-17       1.222928003699e-04       3.099476316291e+13       1.414785829857e+04       3.732512184687e-06       5.362658834913e+13       7.060577788387e-05       5.679850972271e+26       1.356267298906e+20       7.271902551448e+20       3.463692243488e-08       3.926564328704e+26       9.606423929145e+26       9.606423929145e+26       3.202138433658e+26      -1.047367152648e+31       1.169255028584e-04       9.363055599656e-02 
       3.787385031052e+09       5.269961762509e-17       1.223913986905e-04       3.094484449060e+13       1.414785829847e+04       3.735521521771e-06       5.358338675521e+13       7.066270380746e-05       5.661570319765e+26       1.352992110949e+20       7.254341966094e+20       3.463692243488e-08       3.913926645359e+26       9.575505572458e+26       9.575505572458e+26       3.191832321708e+26      -1.043155147939e+31       1.169343259633e-04       9.362349235653e-02 
       3.784333912684e+09       5.278463001348e-17       1.224900770467e-04       3.089500621490e+13       1.414785829837e+04       3.738533285133e-06       5.354021996452e+13       7.071967562759e-05       5.643348503708e+26       1.349724832093e+20       7.236823786995e+20       3.463692243488e-08       3.901329636514e+26       9.544686726770e+26       9.544686726770e+26       3.181559380074e+26      -1.038960081879e+31       1.169431490683e-04       9.361642978322e-02 
       3.781285252298e+09       5.286977953956e-17       1.225888336194e-04       3.084524820634e+13       1.414785829827e+04       3.741547476729e-06       5.349708794900e+13       7.077669338124e-05       5.625185334732e+26       1.346465443240e+20       7.219347911747e+20       3.463692243488e-08       3.888773171258e+26       9.513967071803e+26       9.513967071803e+26       3.171319501997e+26      -1.034781886348e+31       1.169519721734e-04       9.360936827640e-02 
       3.778239047913e+09       5.295506642456e-17       1.226876720466e-04       3.079557033564e+13       1.414785829817e+04       3.744564098516e-06       5.345399068064e+13       7.083375710545e-05       5.607080624083e+26       1.343213925336e+20       7.201914238192e+20       3.463692243488e-08       3.876257119100e+26       9.483346288311e+26       9.483346288311e+26       3.161112581061e+26      -1.030620493502e+31       1.169607952786e-04       9.360230783580e-02 
       3.775195297552e+09       5.304049089005e-17       1.227865886904e-04       3.074597247374e+13       1.414785829807e+04       3.747583152453e-06       5.341092813146e+13       7.089086683729e-05       5.589034183611e+26       1.339970259374e+20       7.184522664419e+20       3.463692243488e-08       3.863781349971e+26       9.452824058075e+26       9.452824058075e+26       3.150938511194e+26      -1.026475835767e+31       1.169696183839e-04       9.359524846120e-02 
       3.772153999236e+09       5.312605315796e-17       1.228855853697e-04       3.069645449177e+13       1.414785829797e+04       3.750604640502e-06       5.336790027347e+13       7.094802261386e-05       5.571045825774e+26       1.336734426393e+20       7.167173088764e+20       3.463692243488e-08       3.851345734220e+26       9.422400063901e+26       9.422400063901e+26       3.140797186664e+26      -1.022347845844e+31       1.169784414893e-04       9.358819015236e-02 
       3.769115150991e+09       5.321175345081e-17       1.229846620845e-04       3.064701626108e+13       1.414785829787e+04       3.753628564625e-06       5.332490707874e+13       7.100522447227e-05       5.553115363631e+26       1.333506407477e+20       7.149865409806e+20       3.463692243488e-08       3.838950142612e+26       9.392073989615e+26       9.392073989615e+26       3.130688502081e+26      -1.018236456702e+31       1.169872645948e-04       9.358113290904e-02 
       3.766078750843e+09       5.329759199112e-17       1.230838188349e-04       3.059765765324e+13       1.414785829777e+04       3.756654926785e-06       5.328194851934e+13       7.106247244967e-05       5.535242610846e+26       1.330286183756e+20       7.132599526371e+20       3.463692243488e-08       3.826594446329e+26       9.361845520061e+26       9.361845520061e+26       3.120612352392e+26      -1.014141601582e+31       1.169960877004e-04       9.357407673100e-02 
       3.763044796820e+09       5.338356900187e-17       1.231830538018e-04       3.054837854000e+13       1.414785829768e+04       3.759683728950e-06       5.323902456736e+13       7.111976658326e-05       5.517427381679e+26       1.327073736407e+20       7.115375337530e+20       3.463692243488e-08       3.814278516969e+26       9.331714341097e+26       9.331714341097e+26       3.110568632883e+26      -1.010063213991e+31       1.170049108062e-04       9.356702161799e-02 
       3.760013286951e+09       5.346968470642e-17       1.232823706232e-04       3.049917879334e+13       1.414785829758e+04       3.762714973086e-06       5.319613519494e+13       7.117710691025e-05       5.499669490991e+26       1.323869046650e+20       7.098192742596e+20       3.463692243488e-08       3.802002226540e+26       9.301680139593e+26       9.301680139593e+26       3.100557239177e+26      -1.006001227705e+31       1.170137339120e-04       9.355996756978e-02 
       3.756984219267e+09       5.355593932852e-17       1.233817674802e-04       3.045005828542e+13       1.414785829748e+04       3.765748661162e-06       5.315328037420e+13       7.123449346787e-05       5.481968754237e+26       1.320672095752e+20       7.081051641126e+20       3.463692243488e-08       3.789765447464e+26       9.271742603426e+26       9.271742603426e+26       3.090578067234e+26      -1.001955576766e+31       1.170225570179e-04       9.355291458612e-02 
       3.753957591801e+09       5.364233309224e-17       1.234812443727e-04       3.040101688864e+13       1.414785829738e+04       3.768784795147e-06       5.311046007731e+13       7.129192629341e-05       5.464324987468e+26       1.317482865025e+20       7.063951932919e+20       3.463692243488e-08       3.777568052575e+26       9.241901421477e+26       9.241901421477e+26       3.080631013347e+26      -9.979261954802e+30       1.170313801240e-04       9.354586266678e-02 
       3.750933402587e+09       5.372886622206e-17       1.235808013007e-04       3.035205447558e+13       1.414785829728e+04       3.771823377016e-06       5.306767427647e+13       7.134940542416e-05       5.446738007323e+26       1.314301335825e+20       7.046893518016e+20       3.463692243488e-08       3.765409915113e+26       9.212156283631e+26       9.212156283631e+26       3.070715974145e+26      -9.939130184201e+30       1.170402032301e-04       9.353881181151e-02 
       3.747911649660e+09       5.381553894278e-17       1.236804382643e-04       3.030317091903e+13       1.414785829718e+04       3.774864408740e-06       5.302492294388e+13       7.140693089746e-05       5.429207631036e+26       1.311127489555e+20       7.029876296700e+20       3.463692243488e-08       3.753290908728e+26       9.182506880767e+26       9.182506880767e+26       3.060832846588e+26      -9.899159804196e+30       1.170490263364e-04       9.353176202008e-02 
       3.744892331058e+09       5.390235147958e-17       1.237801552634e-04       3.025436609199e+13       1.414785829708e+04       3.777907892295e-06       5.298220605178e+13       7.146450275067e-05       5.411733676425e+26       1.307961307662e+20       7.012900169495e+20       3.463692243488e-08       3.741210907476e+26       9.152952904762e+26       9.152952904762e+26       3.050981527967e+26      -9.859350165753e+30       1.170578494427e-04       9.352471329224e-02 
       3.741875444821e+09       5.398930405800e-17       1.238799522980e-04       3.020563986767e+13       1.414785829698e+04       3.780953829658e-06       5.293952357241e+13       7.152212102119e-05       5.394315961898e+26       1.304802771636e+20       6.995965037164e+20       3.463692243488e-08       3.729169785819e+26       9.123494048485e+26       9.123494048485e+26       3.041161915906e+26      -9.819700622447e+30       1.170666725492e-04       9.351766562776e-02 
       3.738860988987e+09       5.407639690395e-17       1.239798311872e-04       3.015699211946e+13       1.414785829688e+04       3.784002222807e-06       5.289687547806e+13       7.157978574644e-05       5.376954306445e+26       1.301651863015e+20       6.979070800711e+20       3.463692243488e-08       3.717167418623e+26       9.094130005791e+26       9.094130005791e+26       3.031373908356e+26      -9.780210530452e+30       1.170754956558e-04       9.351061902640e-02 
       3.735848961600e+09       5.416363024370e-17       1.240797901119e-04       3.010842272098e+13       1.414785829678e+04       3.787053073723e-06       5.285426174103e+13       7.163749696387e-05       5.359648529640e+26       1.298508563379e+20       6.962217361377e+20       3.463692243488e-08       3.705203681156e+26       9.064860471521e+26       9.064860471521e+26       3.021617403598e+26      -9.740879248532e+30       1.170843187624e-04       9.350357348791e-02 
       3.732839360703e+09       5.425100430387e-17       1.241798290721e-04       3.005993154604e+13       1.414785829668e+04       3.790106384386e-06       5.281168233364e+13       7.169525471097e-05       5.342398451636e+26       1.295372854354e+20       6.945404620645e+20       3.463692243488e-08       3.693278449087e+26       9.035685141500e+26       9.035685141500e+26       3.011892300241e+26      -9.701706138030e+30       1.170931418692e-04       9.349652901206e-02 
       3.729832184341e+09       5.433851931147e-17       1.242799498868e-04       3.001151846866e+13       1.414785829658e+04       3.793162156781e-06       5.276913722822e+13       7.175305902525e-05       5.325203893166e+26       1.292244717610e+20       6.928632480232e+20       3.463692243488e-08       3.681391598488e+26       9.006603712531e+26       9.006603712531e+26       3.002198497218e+26      -9.662690562857e+30       1.171019649761e-04       9.348948559860e-02 
       3.726827430561e+09       5.442617549386e-17       1.243801507371e-04       2.996318336306e+13       1.414785829648e+04       3.796220392891e-06       5.272662639716e+13       7.181090994426e-05       5.308064675541e+26       1.289124134859e+20       6.911900842095e+20       3.463692243488e-08       3.669543005826e+26       8.977615882392e+26       8.977615882392e+26       2.992535893789e+26      -9.623831889481e+30       1.171107880831e-04       9.348244324731e-02 
       3.723825097412e+09       5.451397307876e-17       1.244804316229e-04       2.991492610366e+13       1.414785829638e+04       3.799281094703e-06       5.268414981283e+13       7.186880750557e-05       5.290980620645e+26       1.286011087862e+20       6.895209608427e+20       3.463692243488e-08       3.657732547969e+26       8.948721349835e+26       8.948721349835e+26       2.982904389538e+26      -9.585129486920e+30       1.171196111902e-04       9.347540195793e-02 
       3.720825182943e+09       5.460191229429e-17       1.245807943633e-04       2.986674656508e+13       1.414785829628e+04       3.802344264206e-06       5.264170744765e+13       7.192675174679e-05       5.273951550937e+26       1.282905558420e+20       6.878558681657e+20       3.463692243488e-08       3.645960102179e+26       8.919919814580e+26       8.919919814580e+26       2.973303884372e+26      -9.546582726727e+30       1.171284342974e-04       9.346836173023e-02 
