# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04932e-05 to 1.02586 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.944040755834e-02       1.446889279540e+04 
       1.957198998617e-02       1.445157739663e+04 
       1.970363571311e-02       1.443353797561e+04 
       1.983534588751e-02       1.441459161750e+04 
       1.996712168713e-02       1.439513772696e+04 
       2.009896431973e-02       1.437556186591e+04 
       2.023087502366e-02       1.435467668115e+04 
       2.036285506845e-02       1.433346546995e+04 
       2.049490575547e-02       1.431191526336e+04 
       2.062702841851e-02       1.428946992606e+04 
       2.075922442452e-02       1.426645189642e+04 
       2.089149517427e-02       1.424250021160e+04 
       2.102384210308e-02       1.421829211420e+04 
       2.115626668151e-02       1.419370111701e+04 
       2.128877041620e-02       1.416842585728e+04 
       2.142135485057e-02       1.414265333691e+04 
       2.155402156571e-02       1.411661619861e+04 
       2.168677218114e-02       1.408955068872e+04 
       2.181960835574e-02       1.406205254997e+04 
       2.195253178859e-02       1.403412756460e+04 
       2.208554421991e-02       1.400588478798e+04 
       2.221864743200e-02       1.397718780994e+04 
       2.235184325024e-02       1.394778797699e+04 
       2.248513354402e-02       1.391806885896e+04 
       2.261852022790e-02       1.388793503947e+04 
       2.275200526254e-02       1.385722928886e+04 
       2.288559065593e-02       1.382616324671e+04 
       2.301927846444e-02       1.379466391887e+04 
       2.315307079405e-02       1.376275949041e+04 
       2.328696980149e-02       1.373077420229e+04 
       2.342097769559e-02       1.369806043898e+04 
       2.355509673848e-02       1.366453322184e+04 
       2.368932924694e-02       1.363119530100e+04 
       2.382367759381e-02       1.359729339317e+04 
       2.395814420935e-02       1.356317891872e+04 
       2.409273158273e-02       1.352850047340e+04 
       2.422744226354e-02       1.349356498708e+04 
       2.436227886330e-02       1.345829960783e+04 
       2.449724405713e-02       1.342271931434e+04 
       2.463234058536e-02       1.338674363781e+04 
       2.476757125525e-02       1.335052077548e+04 
       2.490293894274e-02       1.331386994518e+04 
       2.503844659433e-02       1.327703553202e+04 
       2.517409722888e-02       1.323993831250e+04 
       2.530989393963e-02       1.320247759355e+04 
       2.544583989616e-02       1.316484517625e+04 
       2.558193834649e-02       1.312689351830e+04 
       2.571819261924e-02       1.308850935343e+04 
       2.585460612581e-02       1.304997989948e+04 
       2.599118236272e-02       1.301123723794e+04 
       2.612792491394e-02       1.297228099020e+04 
       2.626483745339e-02       1.293330218603e+04 
       2.640192374746e-02       1.289363685066e+04 
       2.653918765763e-02       1.285383576379e+04 
       2.667663314319e-02       1.281393262205e+04 
       2.681426426410e-02       1.277382227930e+04 
       2.695208518383e-02       1.273353586719e+04 
       2.709010017247e-02       1.269299521421e+04 
       2.722831360979e-02       1.265222371902e+04 
       2.736672998852e-02       1.261146124288e+04 
       2.750535391768e-02       1.257035120677e+04 
       2.764419012613e-02       1.252903787908e+04 
       2.778324346609e-02       1.248761929244e+04 
       2.792251891698e-02       1.244603796115e+04 
       2.806202158923e-02       1.240456737180e+04 
       2.820175672839e-02       1.236239351858e+04 
       2.834172971926e-02       1.232036328054e+04 
       2.848194609026e-02       1.227812780926e+04 
       2.862241151796e-02       1.223582888007e+04 
       2.876313183178e-02       1.219362306230e+04 
       2.890411301881e-02       1.215087616083e+04 
       2.904536122895e-02       1.210821851176e+04 
       2.918688278017e-02       1.206549082677e+04 
       2.932868416395e-02       1.202255970655e+04 
       2.947077205102e-02       1.197966555148e+04 
       2.961315329732e-02       1.193641406285e+04 
       2.975583495013e-02       1.189342710929e+04 
       2.989882425455e-02       1.185010784162e+04 
       3.004212866019e-02       1.180661684110e+04 
       3.018575582818e-02       1.176313930931e+04 
       3.032971363845e-02       1.171964750969e+04 
       3.047401019731e-02       1.167599734297e+04 
       3.061865384541e-02       1.163235395500e+04 
       3.076365316603e-02       1.158860092490e+04 
       3.090901699365e-02       1.154486211760e+04 
       3.105475442307e-02       1.150098391035e+04 
       3.120087481877e-02       1.145711793498e+04 
       3.134738782479e-02       1.141316146588e+04 
       3.149430337504e-02       1.136915282717e+04 
       3.164163170407e-02       1.132514437183e+04 
       3.178938335834e-02       1.128103631636e+04 
       3.193756920806e-02       1.123697514147e+04 
       3.208620045955e-02       1.119281858274e+04 
       3.223528866816e-02       1.114864403342e+04 
       3.238484575192e-02       1.110448446203e+04 
       3.253488400575e-02       1.106027944411e+04 
       3.268541611640e-02       1.101618689325e+04 
       3.283645517816e-02       1.097194060931e+04 
       3.298801470935e-02       1.092768183653e+04 
       3.314010866960e-02       1.088343979872e+04 
       3.329275147807e-02       1.083902016749e+04 
       3.344595803262e-02       1.079482385410e+04 
       3.359974372989e-02       1.075054060260e+04 
       3.375412448655e-02       1.070625193354e+04 
       3.390911676165e-02       1.066188456443e+04 
       3.406473758011e-02       1.061765726137e+04 
       3.422100455761e-02       1.057338514520e+04 
       3.437793592672e-02       1.052913894701e+04 
       3.453555056461e-02       1.048486393810e+04 
       3.469386802223e-02       1.044052015058e+04 
       3.485290855521e-02       1.039628695677e+04 
       3.501269315645e-02       1.035203084809e+04 
       3.517324359078e-02       1.030782905949e+04 
       3.533458243145e-02       1.026373567938e+04 
       3.549673309897e-02       1.021949091873e+04 
       3.565971990219e-02       1.017529586042e+04 
       3.582356808193e-02       1.013111439166e+04 
       3.598830385730e-02       1.008697376374e+04 
       3.615395447492e-02       1.004296212869e+04 
       3.632054826122e-02       9.998767275800e+03 
       3.648811467812e-02       9.954724112603e+03 
       3.665668438238e-02       9.910717478900e+03 
       3.682628928870e-02       9.866702479968e+03 
       3.699696263718e-02       9.822665097859e+03 
       3.716873906524e-02       9.778691782955e+03 
       3.734165468445e-02       9.734715697614e+03 
       3.751574716274e-02       9.690914082852e+03 
       3.769105581230e-02       9.646885954167e+03 
       3.786762168381e-02       9.603011965201e+03 
       3.804548766738e-02       9.559137873829e+03 
       3.822469860098e-02       9.515332519036e+03 
       3.840530138677e-02       9.471444503189e+03 
       3.858734511632e-02       9.427730880626e+03 
       3.877088120529e-02       9.383869879736e+03 
       3.895596353860e-02       9.340030559143e+03 
       3.914264862698e-02       9.296249433225e+03 
       3.933099577601e-02       9.252494686424e+03 
       3.952106726893e-02       9.208847453267e+03 
       3.971292856434e-02       9.165000684819e+03 
       3.990664851064e-02       9.121359565021e+03 
       4.010229957851e-02       9.077511008396e+03 
       4.029995811355e-02       9.033796586161e+03 
       4.049970461108e-02       8.990015281508e+03 
       4.070162401547e-02       8.946281908344e+03 
       4.090580604666e-02       8.902568449162e+03 
