# Matter power spectrum P(k) at redshift z=0
# for k=1.04741e-05 to 1.19979 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.961273579837e-02       2.019618415697e+04 
       2.975541608286e-02       2.012304530009e+04 
       2.989840400474e-02       2.004984063608e+04 
       3.004170701324e-02       1.997646119067e+04 
       3.018533276907e-02       1.990298706843e+04 
       3.032928915173e-02       1.982933454824e+04 
       3.047358426711e-02       1.975553131535e+04 
       3.061822645540e-02       1.968171795393e+04 
       3.076322429940e-02       1.960768784152e+04 
       3.090858663313e-02       1.953400334961e+04 
       3.105432255086e-02       1.945937238561e+04 
       3.120044141658e-02       1.938516386196e+04 
       3.134695287377e-02       1.931083588397e+04 
       3.149386685579e-02       1.923669340836e+04 
       3.164119359661e-02       1.916190327065e+04 
       3.178894364210e-02       1.908752604784e+04 
       3.193712786184e-02       1.901274107318e+04 
       3.208575746150e-02       1.893806731041e+04 
       3.223484399578e-02       1.886343122007e+04 
       3.238439938200e-02       1.878863684467e+04 
       3.253443591435e-02       1.871376150265e+04 
       3.268496627884e-02       1.863905808284e+04 
       3.283600356900e-02       1.856417132075e+04 
       3.298756130230e-02       1.848918075908e+04 
       3.313965343756e-02       1.841444815602e+04 
       3.329229439305e-02       1.833955879020e+04 
       3.344549906571e-02       1.826462440303e+04 
       3.359928285123e-02       1.818967869838e+04 
       3.375366166531e-02       1.811469863428e+04 
       3.390865196594e-02       1.803959550089e+04 
       3.406427077698e-02       1.796467928718e+04 
       3.422053571297e-02       1.788982682692e+04 
       3.437746500533e-02       1.781499703289e+04 
       3.453507752999e-02       1.774002601398e+04 
       3.469339283663e-02       1.766500579582e+04 
       3.485243117952e-02       1.759039152389e+04 
       3.501221355020e-02       1.751534057410e+04 
       3.517276171201e-02       1.744053986129e+04 
       3.533409823667e-02       1.736582753815e+04 
       3.549624654310e-02       1.729102449182e+04 
       3.565923093846e-02       1.721629499471e+04 
       3.582307666181e-02       1.714161082660e+04 
       3.598780993042e-02       1.706697198609e+04 
       3.615345798896e-02       1.699246346503e+04 
       3.632004916182e-02       1.691769181764e+04 
       3.648761290880e-02       1.684317005500e+04 
       3.665617988439e-02       1.676860590354e+04 
       3.682578200093e-02       1.669413943007e+04 
       3.699645249602e-02       1.661967996740e+04 
       3.716822600445e-02       1.654541076649e+04 
