# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  141       5.479936048564e-10       1.504045295294e-13      -6.028580208692e-12       0.000000000000e+00 
  142       5.525882603491e-10       1.503113389102e-13      -6.061017168389e-12       0.000000000000e+00 
  143       5.571695706394e-10       1.501524334122e-13      -6.090666246311e-12       0.000000000000e+00 
  144       5.617363259249e-10       1.499282340268e-13      -6.117473124904e-12       0.000000000000e+00 
  145       5.662872638736e-10       1.496392531847e-13      -6.141384653181e-12       0.000000000000e+00 
  146       5.708210685028e-10       1.492860965132e-13      -6.162348885876e-12       0.000000000000e+00 
  147       5.753363690579e-10       1.488694645936e-13      -6.180315122594e-12       0.000000000000e+00 
  148       5.798317388912e-10       1.483901547190e-13      -6.195233946967e-12       0.000000000000e+00 
  149       5.843056943407e-10       1.478490626518e-13      -6.207057265808e-12       0.000000000000e+00 
  150       5.887566936093e-10       1.472471843813e-13      -6.215738348259e-12       0.000000000000e+00 
  151       5.931831356430e-10       1.465856178812e-13      -6.221231864952e-12       0.000000000000e+00 
  152       5.975833590106e-10       1.458655648672e-13      -6.223493927154e-12       0.000000000000e+00 
  153       6.019557630409e-10       1.450883177396e-13      -6.222482369459e-12       0.000000000000e+00 
  154       6.062991862654e-10       1.442552153462e-13      -6.218157544994e-12       0.000000000000e+00 
  155       6.106125611733e-10       1.433676864401e-13      -6.210481679112e-12       0.000000000000e+00 
  156       6.148947946192e-10       1.424272657931e-13      -6.199418672554e-12       0.000000000000e+00 
  157       6.191447673245e-10       1.414355958779e-13      -6.184934141845e-12       0.000000000000e+00 
  158       6.233613333788e-10       1.403944285504e-13      -6.166995459687e-12       0.000000000000e+00 
  159       6.275433197415e-10       1.393056267314e-13      -6.145571795354e-12       0.000000000000e+00 
  160       6.316895257435e-10       1.381711660891e-13      -6.120634155082e-12       0.000000000000e+00 
  161       6.357987225885e-10       1.369931367210e-13      -6.092155422467e-12       0.000000000000e+00 
  162       6.398696528542e-10       1.357737448363e-13      -6.060110398853e-12       0.000000000000e+00 
  163       6.439010299947e-10       1.345153144374e-13      -6.024475843732e-12       0.000000000000e+00 
  164       6.478915378409e-10       1.332202890029e-13      -5.985230515131e-12       0.000000000000e+00 
  165       6.518398301029e-10       1.318912331690e-13      -5.942355210011e-12       0.000000000000e+00 
  166       6.557445298710e-10       1.305308344118e-13      -5.895832804657e-12       0.000000000000e+00 
  167       6.596042291175e-10       1.291419047295e-13      -5.845648295072e-12       0.000000000000e+00 
  168       6.634174881980e-10       1.277273823248e-13      -5.791788837373e-12       0.000000000000e+00 
  169       6.671828353529e-10       1.262903332864e-13      -5.734243788180e-12       0.000000000000e+00 
  170       6.708987662092e-10       1.248339532714e-13      -5.673004745014e-12       0.000000000000e+00 
  171       6.745638420223e-10       1.233614734068e-13      -5.608064891171e-12       0.000000000000e+00 
  172       6.781769946397e-10       1.218758656670e-13      -5.539416884480e-12       0.000000000000e+00 
  173       6.817372461287e-10       1.203801160391e-13      -5.467054869095e-12       0.000000000000e+00 
  174       6.852436122299e-10       1.188773193741e-13      -5.390975192434e-12       0.000000000000e+00 
  175       6.886951022612e-10       1.173706806783e-13      -5.311176442739e-12       0.000000000000e+00 
  176       6.920907190226e-10       1.158635164047e-13      -5.227659486632e-12       0.000000000000e+00 
  177       6.954294587002e-10       1.143592557444e-13      -5.140427506667e-12       0.000000000000e+00 
  178       6.987103107708e-10       1.128614419174e-13      -5.049486038891e-12       0.000000000000e+00 
  179       7.019322579062e-10       1.113737334647e-13      -4.954843010396e-12       0.000000000000e+00 
  180       7.050942758774e-10       1.098999055391e-13      -4.856508776876e-12       0.000000000000e+00 
  181       7.081953334593e-10       1.084438511967e-13      -4.754496160182e-12       0.000000000000e+00 
  182       7.112343923348e-10       1.070095826883e-13      -4.648820485880e-12       0.000000000000e+00 
  183       7.142104069991e-10       1.056012327506e-13      -4.539499620805e-12       0.000000000000e+00 
  184       7.171223246645e-10       1.042230558976e-13      -4.426554010617e-12       0.000000000000e+00 
